frame_name,coordinates
00390.jpg,"[{'contour_0': (622, 456, 96, 54)}, {'contour_1': (434, 175, 202, 54)}]"
00391.jpg,"[{'contour_0': (673, 482, 95, 55)}, {'contour_1': (450, 189, 235, 73)}]"
00392.jpg,"[{'contour_0': (723, 513, 90, 50)}, {'contour_1': (520, 231, 239, 75)}]"
00393.jpg,"[{'contour_0': (579, 258, 178, 56)}, {'contour_1': (421, 44, 101, 65)}, {'contour_2': (2, 32, 99, 58)}]"
00394.jpg,"[{'contour_0': (553, 646, 93, 38)}, {'contour_1': (468, 76, 113, 64)}, {'contour_2': (61, 67, 87, 55)}]"
00395.jpg,"[{'contour_0': (480, 566, 72, 36)}, {'contour_1': (607, 542, 124, 65)}, {'contour_2': (514, 109, 113, 63)}]"
00396.jpg,"[{'contour_0': (160, 126, 88, 55)}]"
00397.jpg,"[{'contour_0': (228, 692, 88, 28)}, {'contour_1': (602, 168, 92, 59)}, {'contour_2': (204, 154, 83, 55)}]"
00398.jpg,"[{'contour_0': (673, 691, 108, 29)}, {'contour_1': (986, 678, 84, 42)}, {'contour_2': (814, 669, 152, 51)}, {'contour_3': (819, 405, 158, 48)}]"
00399.jpg,"[{'contour_0': (290, 651, 106, 69)}, {'contour_1': (858, 432, 161, 60)}, {'contour_2': (293, 220, 81, 47)}]"
00400.jpg,"[{'contour_0': (352, 652, 114, 68)}, {'contour_1': (907, 460, 148, 46)}, {'contour_2': (338, 244, 77, 48)}]"
00401.jpg,"[{'contour_0': (288, 650, 126, 70)}, {'contour_1': (945, 486, 148, 45)}]"
00402.jpg,"[{'contour_0': (23, 576, 204, 126)}, {'contour_1': (984, 509, 143, 45)}]"
00403.jpg,"[{'contour_0': (165, 652, 128, 68)}, {'contour_1': (976, 529, 185, 52)}, {'contour_2': (461, 327, 71, 44)}]"
00404.jpg,"[{'contour_0': (884, 359, 98, 60)}, {'contour_1': (501, 354, 73, 45)}, {'contour_2': (668, 252, 185, 89)}]"
